group,name,label,o-issn,p-issn,url,publisher,current-dois,backfile-dois,total-dois,crossref
Sociology,American Sociological Review,American-Sociological-Review,1939-8271,0003-1224,https://journals.sagepub.com/home/asr,sagepub,86,13083,13169,T
Sociology,Contemporary Sociology,Contemporary-Sociology,1939-8638,0094-3061,https://journals.sagepub.com/home/csx,sagepub,562,25607,26169,T
Sociology,Cultural Sociology,Cultural-Sociology,1749-9763,1749-9755,https://journals.sagepub.com/home/cus,sagepub,98,747,845,T
Sociology,European Journal of Social Theory,European-Journal-of-Social-Theory,1461-7137,1368-4310,https://journals.sagepub.com/home/est/,sagepub,105,928,1033,T
Sociology,Sociology,Sociology,1469-8684,0038-0385,https://journals.sagepub.com/home/soc,sagepub,162,7397,7559,T
Sociology,Theory and Society,Theory-and-Society,1573-7853,0304-2421,https://link.springer.com/journal/11186,springer,90,1635,1725,T
Sociology,Economy and Society,Economy-and-Society,1469-5766,0308-5147,https://www.tandfonline.com/journals/reso20,tandf,61,1378,1439,T
Sociology,The Information Society,The-Information-Society,1087-6537,0197-2243,https://www.tandfonline.com/journals/utis20,tandf,50,1350,1400,T
Sociology,Distinktion Journal of Social Theory,Distinktion-Journal-of-Social-Theory,2159-9149,1600-910X,https://www.tandfonline.com/toc/rdis20/,tandf,58,539,597,T
Sociology,Poetics,Poetics,1872-7514,0304-422X,https://www.sciencedirect.com/journal/poetics,sciencedirect,,,,F
Sport,Communication and Sport,Communication-and-Sport,2167-4809,2167-4795,https://journals.sagepub.com/home/com,sagepub,135,418,553,T
Sport,Sport in Society,Sport-in-Society,1743-0445,1743-0437,https://www.tandfonline.com/journals/fcss20,tandf,233,2064,2297,T
Sport,Sport Management Review,Sport-Management-Review,1839-2083,1441-3523,https://www.tandfonline.com/journals/rsmr20,tandf,66,892,958,T
CulturalGeography,Journal of Cultural Geography,Journal-of-Cultural-Geography,1940-6320,0887-3631,https://www.tandfonline.com/journals/rjcg20,tandf,,,,T
CulturalGeography,Social and Cultural Geography,Social-and-Cultural-Geography,1470-1197,1464-9365,https://www.tandfonline.com/journals/rscg20,tandf,,,,T
CulturalGeography,Cultural Geographies,Cultural-Geographies,1477-0881,1474-4740,https://journals.sagepub.com/home/cgj,sagepub,,,,T
CulturalGeography,"Gender, Place and Culture",Gender-Place-and-Culture,1360-0524,0966-369X,https://www.tandfonline.com/journals/cgpc20,tandf,,,,T
CulturalGeography,Environment and Planning D: Society and Space,Environment-and-Planning-D-Society-and-Space,1472-3433,0263-7758,https://journals.sagepub.com/home/epd,sagepub,,,,T
CulturalGeography,Progress in Human Geography,Progress-in-Human-Geography,1477-0288,0309-1325,https://journals.sagepub.com/home/phg,sagepub,,,,T
CulturalGeography,Transactions of the Institute of British Geographers,Transactions-of-the-Institute-of-British-Geographers,1475-5661,0020-2754,https://rgs-ibg.onlinelibrary.wiley.com/journal/14755661,wiley,,,,T
CulturalGeography,Antipode,Antipode,1467-8330,0066-4812,https://onlinelibrary.wiley.com/journal/14678330,wiley,,,,T
CulturalGeography,"Emotion, Space and Society",Emotion-Space-and-Society,1878-0040,1755-4586,https://www.sciencedirect.com/journal/emotion-space-and-society,sciencedirect,,,,F
Communication,Human Communication Research,Human-Communication-Research,1468-2958,0360-3989,https://academic.oup.com/hcr,oup,,,,T
Communication,Communication Monographs,Communication-Monographs,1479-5787,0363-7751,https://www.tandfonline.com/journals/rcmm20,tandf,,,,T
Sociology,American Journal of Sociology,American-Journal-of-Sociology,1537-5390,0002-9602,https://www.journals.uchicago.edu/toc/ajs/current,other,,,,T
Sociology,Annual Review of Sociology,Annual-Review-of-Sociology,1545-2115,0360-0572,https://www.annualreviews.org/journal/soc,other,,,,T
Sociology,British Journal of Sociology,British-Journal-of-Sociology,1468-4446,0007-1315,https://onlinelibrary.wiley.com/journal/14684446,wiley,,,,T
Marketing,Journal of Consumer Research,Journal-of-Consumer-Research,1537-5277,0093-5301,https://academic.oup.com/jcr,oup,,,,T
